memberID,house,name,id,startDate,endDate,additionalInfo,additionalInfoLink
1096,1,Deputy Speaker (Second Deputy Chairman of Ways and Means),814,1982-05-01T00:00:00,1987-06-25T00:00:00,,
1104,1,"Deputy Chair, Conservative Party",766,1972-07-01T00:00:00,1974-03-01T00:00:00,,
1104,1,"Vice-Chair, Conservative Party",823,1965-01-01T00:00:00,1965-07-01T00:00:00,,
1106,1,"Member, Labour Party National Executive Committee",803,1978-08-01T00:00:00,1983-07-31T00:00:00,,
1113,1,"Member, Labour Party National Executive Committee",803,1983-07-01T00:00:00,1988-07-01T00:00:00,,
1113,1,"Member, Labour Party National Executive Committee",803,1970-07-01T00:00:00,1981-07-01T00:00:00,,
1116,,European Commissioner,775,1985-07-01T00:00:00,1989-07-01T00:00:00,,
1118,1,"Party Chair, Labour Party",808,1975-08-01T00:00:00,1976-08-01T00:00:00,,
1118,1,"Vice-Chair, Labour Party",824,1974-08-01T00:00:00,1975-08-01T00:00:00,,
1118,1,"Member, Labour Party National Executive Committee",803,1966-07-31T00:00:00,1981-07-31T00:00:00,,
1119,1,"Vice-Chair, Conservative Party",823,1994-07-01T00:00:00,1997-07-01T00:00:00,,
1124,2,"Leader of the Opposition, House of Lords",792,1997-05-01T00:00:00,1998-12-02T00:00:00,,
1133,,"Chairman of Committees, House of Lords",801,2000-07-01T00:00:00,2001-07-01T00:00:00,,
1136,,European Commissioner,775,2000-01-23T00:00:00,2004-11-22T00:00:00,,
1136,1.0,"Party Chair, Conservative Party",805,1990-11-28T00:00:00,1992-04-09T00:00:00,,
1164,,"Vice-Chair, Conservative Party",823,1983-07-01T00:00:00,1987-07-01T00:00:00,,
1174,1,Father of the House of Commons,776,1979-05-03T00:00:00,1983-06-09T00:00:00,,
1174,1,"Member, Labour Party National Executive Committee",803,1943-07-01T00:00:00,1944-07-01T00:00:00,,
1187,1,"Vice-Chair, Conservative Party",823,1984-07-01T00:00:00,1987-07-01T00:00:00,,
1201,1,"Deputy Chair, Conservative Party",766,2007-07-01T00:00:00,2010-05-06T00:00:00,,
1208,,Leader of the UK Independence Party,796,2002-07-01T00:00:00,2006-07-01T00:00:00,,
1211,1,"Vice-Chair, Conservative Party",823,1992-07-01T00:00:00,1993-07-01T00:00:00,,
1220,1,"Deputy Chair, Conservative Party",766,2003-07-01T00:00:00,2005-07-01T00:00:00,,
1220,1,"Vice-Chair, Conservative Party",823,1995-07-01T00:00:00,1997-07-01T00:00:00,,
1226,1,"Vice-Chair, Conservative Party",823,1995-07-01T00:00:00,1997-05-01T00:00:00,,
1226,1,"Deputy Chair, Conservative Party",766,1992-04-11T00:00:00,1995-07-01T00:00:00,,
1230,1,"Vice-Chair, Conservative Party",823,1990-04-01T00:00:00,1997-05-01T00:00:00,,
1240,1,"Deputy Chair, Conservative Party",766,1986-07-01T00:00:00,1988-07-01T00:00:00,,
1251,1,Deputy Speaker and Chairman of Ways and Means,760,1992-05-06T00:00:00,1997-05-01T00:00:00,,
1272,1,"Deputy Chair, Conservative Party",766,1992-07-01T00:00:00,1994-07-01T00:00:00,,
1277,1,"Deputy Chair, Conservative Party",766,1986-07-01T00:00:00,1989-07-01T00:00:00,,
1314,1,"Leader, Scottish National Party",793,1979-08-01T00:00:00,1990-08-01T00:00:00,,
1316,2,Principal Deputy Chairman of Committees,955,2010-06-02T00:00:00,2012-05-08T00:00:00,,
