memberID,house,name,id,startDate,endDate,additionalInfo,additionalInfoLink
373,1.0,Secretary of State for Exiting the European Union,1170,2016-07-13T00:00:00,2018-07-08T00:00:00,Department for Exiting the European Union ,https://www.gov.uk/government/organisations/department-for-exiting-the-european-union
373,1.0,Minister of State (Foreign and Commonwealth Office),424,1994-07-20T00:00:00,1997-05-02T00:00:00,Foreign and Commonwealth Office,https://www.gov.uk/government/organisations/foreign-commonwealth-office
373,1.0,Parliamentary Secretary (Duchy of Lancaster Office),458,1993-05-27T00:00:00,1994-07-19T00:00:00,Duchy of Lancaster Office,
373,1.0,Assistant Whip (HM Treasury),351,1990-12-03T00:00:00,1993-05-27T00:00:00,HM Treasury,https://www.gov.uk/government/organisations/hm-treasury
374,1.0,Deputy Prime Minister and First Secretary of State,57,2006-05-05T00:00:00,2007-06-28T00:00:00,Deputy Prime Minister,
374,1.0,Deputy Prime Minister and Secretary of State for Local Government and the Regions,59,2002-05-29T00:00:00,2006-05-05T00:00:00,Office of the Deputy Prime Minister,/https://www.gov.uk/government/ministers/deputy-prime-minister
374,1.0,Deputy Prime Minister and First Secretary of State,56,2001-06-08T00:00:00,2002-05-28T00:00:00,Cabinet Office,https://www.gov.uk/government/organisations/cabinet-office
374,1.0,"Deputy Prime Minister and Secretary of State for Environment, Transport and the Regions",58,1997-05-02T00:00:00,2001-06-07T00:00:00,"Department of the Environment, Transport and the Regions",
376,1.0,Home Secretary,74,2009-06-06T00:00:00,2010-05-06T00:00:00,Home Office,https://www.gov.uk/government/organisations/home-office
376,1.0,Secretary of State for Health,709,2007-06-28T00:00:00,2009-06-05T00:00:00,Department of Health,http://www.dh.gov.uk
376,1.0,Secretary of State for Education and Skills,699,2006-05-05T00:00:00,2007-06-28T00:00:00,Department for Education and Skills,http://www.dfes.gov.uk
376,1.0,Secretary of State for Trade and Industry,737,2005-05-06T00:00:00,2006-05-05T00:00:00,Department of Trade and Industry,http://www.dti.gov.uk
376,1.0,Secretary of State for Work and Pensions,744,2004-09-09T00:00:00,2005-05-06T00:00:00,Department for Work and Pensions,https://www.gov.uk/government/organisations/department-for-work-pensions
376,1.0,"Minister of State (Education and Skills) (Lifelong Learning, Further and Higher Education)",274,2003-06-13T00:00:00,2004-09-09T00:00:00,Department for Education and Skills,http://www.dfes.gov.uk
376,1.0,"Minister of State (Employment Relations, Industry & the Regions)",117,2001-06-11T00:00:00,2003-06-13T00:00:00,Department of Trade and Industry,http://www.dti.gov.uk
376,1.0,Parliamentary Under-Secretary (Department of Trade and Industry),411,1999-07-29T00:00:00,2001-06-07T00:00:00,Department of Trade and Industry,http://www.dti.gov.uk
377,1.0,"Minister of State (Department for Environment, Food and Rural Affairs) (Climate Change and Environment)",236,2003-06-13T00:00:00,2006-05-05T00:00:00,"Department for Environment, Food and Rural Affairs",https://www.gov.uk/government/organisations/department-for-environment-food-rural-affairs
377,1.0,"Parliamentary Under-Secretary (Department for Environment, Food and Rural Affairs)",486,2001-06-11T00:00:00,2003-06-13T00:00:00,"Department for Environment, Food and Rural Affairs",https://www.gov.uk/government/organisations/department-for-environment-food-rural-affairs
377,1.0,"Parliamentary Secretary (Ministry of Agriculture, Fisheries and Food)",419,1997-05-06T00:00:00,2001-06-10T00:00:00,"Ministry of Agriculture, Fisheries and Food",
379,1.0,First Secretary of State and Leader of the House of Commons,1127,2014-07-15T00:00:00,2015-05-08T00:00:00,Office of the Leader of the House of Commons,https://www.gov.uk/government/organisations/the-office-of-the-leader-of-the-house-of-commons
379,1.0,Foreign Secretary and First Secretary of State,1077,2010-05-12T00:00:00,2014-07-15T00:00:00,Foreign and Commonwealth Office,https://www.gov.uk/government/organisations/foreign-commonwealth-office
379,1.0,Secretary of State for Wales,741,1995-07-05T00:00:00,1997-05-01T00:00:00,Welsh Office,
379,1.0,Minister of State (Department of Social Security),450,1994-07-20T00:00:00,1995-07-05T00:00:00,Department of Social Security,
379,1.0,Parliamentary Under-Secretary (Department of Social Security),451,1993-05-27T00:00:00,1994-07-20T00:00:00,Department of Social Security,
383,1.0,Minister (Department of Environment) (Local Government),135,1993-05-27T00:00:00,1997-05-01T00:00:00,Department for the Environment,
383,1.0,"Minister of State (Ministry of Agriculture, Fisheries and Food)",441,1992-04-14T00:00:00,1993-05-26T00:00:00,"Ministry of Agriculture, Fisheries and Food",
383,1.0,"Parliamentary Under-Secretary (Ministry of Agriculture, Fisheries and Food)",442,1989-07-26T00:00:00,1992-04-14T00:00:00,"Ministry of Agriculture, Fisheries and Food",
385,1.0,Parliamentary Under-Secretary (Department of Social Security),451,1999-01-04T00:00:00,2001-06-07T00:00:00,Department of Social Security,
389,1.0,Minister of State (Europe),125,2008-10-03T00:00:00,2009-06-05T00:00:00,Foreign and Commonwealth Office,https://www.gov.uk/government/organisations/foreign-commonwealth-office
389,1.0,Minister of State (Department of Communities and Local Government) (Housing),269,2008-01-24T00:00:00,2008-10-03T00:00:00,Department for Communities and Local Government,https://www.gov.uk/government/organisations/department-for-communities-and-local-government
389,1.0,Minister of State (Regional Affairs) (Yorkshire and the Humber),193,2007-06-28T00:00:00,2008-01-09T00:00:00,Regional Affairs,
389,1.0,Minister of State (Department for Work and Pensions) (Employment and Welfare Reform),249,2007-06-28T00:00:00,2008-01-25T00:00:00,Department for Work and Pensions,https://www.gov.uk/government/organisations/department-for-work-pensions
389,1.0,Minister of State (Department of Health) (Public Health),146,2006-05-05T00:00:00,2007-06-28T00:00:00,Department of Health,http://www.dh.gov.uk
