memberID,house,name,id,startDate,endDate,additionalInfo,additionalInfoLink
67,1.0,Shadow Spokesperson (Treasury),994,2002-01-01T00:00:00,2003-01-01T00:00:00,HM Treasury,https://www.gov.uk/government/organisations/hm-treasury
67,1.0,Shadow Spokesperson (Work and Pensions),1006,2001-01-01T00:00:00,2002-01-01T00:00:00,Department for Work and Pensions,https://www.gov.uk/government/organisations/department-for-work-pensions
67,1.0,Shadow Spokesperson (Treasury),994,2000-01-01T00:00:00,2001-01-01T00:00:00,HM Treasury,https://www.gov.uk/government/organisations/hm-treasury
67,1.0,Shadow Spokesperson (Education),982,1999-01-01T00:00:00,2000-01-01T00:00:00,Department for Education,http://www.education.gov.uk/
67,1.0,Shadow Spokesperson (Home Affairs),988,1997-01-01T00:00:00,1999-01-01T00:00:00,Home Office,https://www.gov.uk/government/organisations/home-office
68,1.0,Shadow Chancellor of the Exchequer,12,1997-06-11T00:00:00,1998-06-02T00:00:00,HM Treasury,https://www.gov.uk/government/organisations/hm-treasury
69,1.0,Shadow Secretary of State,16,2005-05-10T00:00:00,2007-07-03T00:00:00,HM Official Opposition,
69,1.0,Shadow Secretary of State (Justice),1056,2004-06-15T00:00:00,2007-07-03T00:00:00,,
69,1.0,Shadow Leader of the House of Commons,14,2003-06-01T00:00:00,2005-06-01T00:00:00,Office of the Leader of the House of Commons,https://www.gov.uk/government/organisations/the-office-of-the-leader-of-the-house-of-commons
69,1.0,Shadow Cabinet Minister (Work and Pensions),1196,2002-06-01T00:00:00,2003-06-01T00:00:00,HM Official Opposition,
69,1.0,Shadow Spokesperson (Health),987,2001-06-01T00:00:00,2002-06-01T00:00:00,Department of Health,http://www.dh.gov.uk
69,1.0,Shadow Spokesperson (Home Affairs),988,2000-06-01T00:00:00,2001-06-01T00:00:00,Home Office,https://www.gov.uk/government/organisations/home-office
69,1.0,Opposition Whip (Commons),10,1997-06-01T00:00:00,2000-06-01T00:00:00,Whips Office (Commons),
76,1.0,Shadow Minister (Home Affairs),966,2005-12-10T00:00:00,2010-05-06T00:00:00,Home Office,https://www.gov.uk/government/organisations/home-office
76,1.0,Shadow Secretary of State for Transport,868,2003-11-10T00:00:00,2004-09-01T00:00:00,Department for Transport,https://www.gov.uk/government/organisations/department-for-transport
76,1.0,Shadow Secretary of State for Education,864,2001-09-18T00:00:00,2003-11-10T00:00:00,Department for Education,http://www.education.gov.uk/
76,1.0,"Shadow Spokesperson (Environment, Food and Rural Affairs)",984,1999-06-01T00:00:00,2001-06-01T00:00:00,"Department for Environment, Food and Rural Affairs",https://www.gov.uk/government/organisations/department-for-environment-food-rural-affairs
76,1.0,Shadow Spokesperson (Education),982,1998-06-01T00:00:00,1999-06-01T00:00:00,Department for Education,http://www.education.gov.uk/
76,1.0,Shadow Spokesperson (Work and Pensions),1006,1998-06-01T00:00:00,1999-06-01T00:00:00,Department for Work and Pensions,https://www.gov.uk/government/organisations/department-for-work-pensions
77,1.0,Shadow Minister (Transport),971,2005-05-10T00:00:00,2010-05-06T00:00:00,Department for Transport,https://www.gov.uk/government/organisations/department-for-transport
77,1.0,Shadow Minister (Foreign and Commonwealth Affairs),878,2003-10-01T00:00:00,2005-06-01T00:00:00,Foreign and Commonwealth Office,https://www.gov.uk/government/organisations/foreign-commonwealth-office
77,1.0,Shadow Minister (Home Affairs),966,2003-03-01T00:00:00,2003-10-01T00:00:00,Home Office,https://www.gov.uk/government/organisations/home-office
77,1.0,Shadow Minister (Work and Pensions),974,2002-06-01T00:00:00,2003-06-01T00:00:00,Department for Work and Pensions,https://www.gov.uk/government/organisations/department-for-work-pensions
77,1.0,Opposition Whip (Commons),10,2001-06-01T00:00:00,2002-06-01T00:00:00,Whips Office (Commons),
82,1.0,Leader of HM Official Opposition,4,2003-11-06T00:00:00,2005-12-06T00:00:00,HM Official Opposition,
82,1.0,Shadow Chancellor of the Exchequer,12,2001-01-09T00:00:00,2003-11-06T00:00:00,HM Treasury,https://www.gov.uk/government/organisations/hm-treasury
82,1.0,Shadow Secretary of State,16,1997-06-11T00:00:00,1999-06-15T00:00:00,HM Official Opposition,
85,1.0,Shadow Home Secretary,1171,1999-06-15T00:00:00,2001-09-18T00:00:00,Home Office,https://www.gov.uk/government/organisations/home-office
85,1.0,Shadow Secretary of State for Health,863,1998-06-02T00:00:00,1999-06-15T00:00:00,Department of Health,http://www.dh.gov.uk
88,1.0,Shadow Spokesperson (Treasury),994,1997-12-01T00:00:00,1998-06-01T00:00:00,HM Treasury,https://www.gov.uk/government/organisations/hm-treasury
88,1.0,Shadow Spokesperson (Trade and Industry),1047,1997-06-01T00:00:00,1997-12-01T00:00:00,Department of Trade and Industry,http://www.dti.gov.uk
92,1.0,Shadow Secretary of State,16,2000-02-02T00:00:00,2001-09-18T00:00:00,HM Official Opposition,
94,1.0,Shadow Secretary of State for Environment,1428,1976-07-01T00:00:00,1979-05-03T00:00:00,Department for the Environment,
94,1.0,Shadow Secretary of State for Industry,1427,1974-03-01T00:00:00,1976-07-01T00:00:00,Department of Industry,
95,1.0,Shadow Secretary of State for Transport,868,1996-07-01T00:00:00,1997-05-01T00:00:00,Department for Transport,https://www.gov.uk/government/organisations/department-for-transport
95,1.0,Shadow Chief Secretary to the Treasury,13,1994-07-01T00:00:00,1996-07-01T00:00:00,HM Treasury,https://www.gov.uk/government/organisations/hm-treasury
95,1.0,Shadow Spokesperson (Treasury),994,1992-06-01T00:00:00,1996-06-01T00:00:00,HM Treasury,https://www.gov.uk/government/organisations/hm-treasury
95,1.0,Shadow Spokesperson (Education),982,1988-06-01T00:00:00,1992-06-01T00:00:00,Department for Education,http://www.education.gov.uk/
96,1.0,"Shadow Minister (Business, Innovation and Skills)",15,2007-12-20T00:00:00,2010-05-06T00:00:00,"Department for Business, Innovation and Skills",https://www.gov.uk/government/organisations/department-for-business-innovation-skills
