BillID,id,stageId,sessionId,description,abbreviation,house,stageSittings,sortOrder
495,2582.0,3.0,22.0,Committee stage,CS,Lords,"[{'id': 2476, 'stageId': 3, 'billStageId': 2582, 'billId': 495, 'date': '2009-07-14T00:00:00'}, {'id': 2552, 'stageId': 3, 'billStageId': 2582, 'billId': 495, 'date': '2009-07-16T00:00:00'}]",10.0
495,2583.0,4.0,22.0,Report stage,RS,Lords,"[{'id': 2477, 'stageId': 4, 'billStageId': 2583, 'billId': 495, 'date': '2009-07-20T00:00:00'}]",11.0
495,2584.0,5.0,22.0,3rd reading,3R,Lords,"[{'id': 2478, 'stageId': 5, 'billStageId': 2584, 'billId': 495, 'date': '2009-07-20T00:00:00'}]",12.0
495,2650.0,14.0,22.0,Programme motion,PM,Commons,"[{'id': 2554, 'stageId': 14, 'billStageId': 2650, 'billId': 495, 'date': '2009-07-21T00:00:00'}]",13.0
495,2651.0,12.0,22.0,Consideration of Lords amendments,COLA,Commons,"[{'id': 2555, 'stageId': 12, 'billStageId': 2651, 'billId': 495, 'date': '2009-07-21T00:00:00'}]",14.0
495,2662.0,11.0,22.0,Royal Assent,RA,Unassigned,"[{'id': 2553, 'stageId': 11, 'billStageId': 2662, 'billId': 495, 'date': '2009-07-21T00:00:00'}]",15.0
496,2528.0,6.0,22.0,1st reading,1R,Commons,"[{'id': 2479, 'stageId': 6, 'billStageId': 2528, 'billId': 496, 'date': '2009-06-23T00:00:00'}]",1.0
496,13363.0,7.0,22.0,2nd reading,2R,Commons,[],2.0
498,2554.0,6.0,22.0,1st reading,1R,Commons,"[{'id': 2480, 'stageId': 6, 'billStageId': 2554, 'billId': 498, 'date': '2009-06-30T00:00:00'}]",1.0
498,13364.0,7.0,22.0,2nd reading,2R,Commons,[],2.0
499,2559.0,6.0,22.0,1st reading,1R,Commons,"[{'id': 2481, 'stageId': 6, 'billStageId': 2559, 'billId': 499, 'date': '2009-07-01T00:00:00'}]",1.0
499,13365.0,7.0,22.0,2nd reading,2R,Commons,[],2.0
500,2563.0,6.0,22.0,1st reading,1R,Commons,"[{'id': 2482, 'stageId': 6, 'billStageId': 2563, 'billId': 500, 'date': '2009-07-01T00:00:00'}]",1.0
500,13366.0,7.0,22.0,2nd reading,2R,Commons,[],2.0
501,2573.0,6.0,22.0,1st reading,1R,Commons,"[{'id': 2485, 'stageId': 6, 'billStageId': 2573, 'billId': 501, 'date': '2009-07-02T00:00:00'}]",1.0
501,2574.0,7.0,22.0,2nd reading,2R,Commons,"[{'id': 2486, 'stageId': 7, 'billStageId': 2574, 'billId': 501, 'date': '2009-07-06T00:00:00'}]",2.0
501,2576.0,10.0,22.0,3rd reading,3R,Commons,"[{'id': 2487, 'stageId': 10, 'billStageId': 2576, 'billId': 501, 'date': '2009-07-06T00:00:00'}]",3.0
501,2593.0,1.0,22.0,1st reading,1R,Lords,"[{'id': 2483, 'stageId': 1, 'billStageId': 2593, 'billId': 501, 'date': '2009-07-07T00:00:00'}]",4.0
501,2597.0,2.0,22.0,2nd reading,2R,Lords,"[{'id': 2484, 'stageId': 2, 'billStageId': 2597, 'billId': 501, 'date': '2009-07-20T00:00:00'}]",5.0
501,2704.0,27.0,22.0,Committee negatived,CN,Lords,"[{'id': 2556, 'stageId': 27, 'billStageId': 2704, 'billId': 501, 'date': '2009-07-20T00:00:00'}]",6.0
501,2705.0,5.0,22.0,3rd reading,3R,Lords,"[{'id': 2557, 'stageId': 5, 'billStageId': 2705, 'billId': 501, 'date': '2009-07-20T00:00:00'}]",7.0
501,2706.0,11.0,22.0,Royal Assent,RA,Unassigned,"[{'id': 2558, 'stageId': 11, 'billStageId': 2706, 'billId': 501, 'date': '2009-10-21T00:00:00'}]",8.0
502,2589.0,6.0,22.0,1st reading,1R,Commons,"[{'id': 2488, 'stageId': 6, 'billStageId': 2589, 'billId': 502, 'date': '2009-07-07T00:00:00'}]",1.0
502,13368.0,7.0,22.0,2nd reading,2R,Commons,[],2.0
503,2600.0,6.0,22.0,1st reading,1R,Commons,"[{'id': 2489, 'stageId': 6, 'billStageId': 2600, 'billId': 503, 'date': '2009-07-08T00:00:00'}]",1.0
503,13369.0,7.0,22.0,2nd reading,2R,Commons,[],2.0
504,2619.0,6.0,22.0,1st reading,1R,Commons,"[{'id': 2559, 'stageId': 6, 'billStageId': 2619, 'billId': 504, 'date': '2009-07-14T00:00:00'}]",1.0
504,13370.0,7.0,22.0,2nd reading,2R,Commons,[],2.0
505,2621.0,6.0,22.0,1st reading,1R,Commons,"[{'id': 2560, 'stageId': 6, 'billStageId': 2621, 'billId': 505, 'date': '2009-07-14T00:00:00'}]",1.0
505,13371.0,7.0,22.0,2nd reading,2R,Commons,[],2.0
506,2624.0,1.0,22.0,1st reading,1R,Lords,"[{'id': 2561, 'stageId': 1, 'billStageId': 2624, 'billId': 506, 'date': '2009-07-15T00:00:00'}]",1.0
506,13372.0,2.0,22.0,2nd reading,2R,Lords,[],2.0
507,2626.0,6.0,22.0,1st reading,1R,Commons,"[{'id': 2562, 'stageId': 6, 'billStageId': 2626, 'billId': 507, 'date': '2009-07-15T00:00:00'}]",1.0
507,13373.0,7.0,22.0,2nd reading,2R,Commons,[],2.0
508,2628.0,6.0,22.0,1st reading,1R,Commons,"[{'id': 2563, 'stageId': 6, 'billStageId': 2628, 'billId': 508, 'date': '2009-07-15T00:00:00'}]",1.0
508,13374.0,7.0,22.0,2nd reading,2R,Commons,[],2.0
509,2632.0,6.0,22.0,1st reading,1R,Commons,"[{'id': 2564, 'stageId': 6, 'billStageId': 2632, 'billId': 509, 'date': '2009-07-16T00:00:00'}]",1.0
509,13375.0,7.0,22.0,2nd reading,2R,Commons,[],2.0
510,2634.0,6.0,22.0,1st reading,1R,Commons,"[{'id': 2565, 'stageId': 6, 'billStageId': 2634, 'billId': 510, 'date': '2009-07-16T00:00:00'}]",1.0
510,13376.0,7.0,22.0,2nd reading,2R,Commons,[],2.0
